u,x1,x2
-0.03453134019471035,-0.005424513227358471 0.014761688063542989 -2.134828913547809,-0.004430290495196492 0.01748954486945466 -2.3766570538449514
-0.04005924760382411,-0.004430290495196492 0.01748954486945466 -2.3766570538449514,-0.003079929776385211 0.025171783149443405 -3.0185466003772787
-0.025096269868021447,-0.003079929776385211 0.025171783149443405 -3.0185466003772787,6.093002509033243e-05 0.04965027580583687 -3.065848630126947
0.0020533957483526606,6.093002509033243e-05 0.04965027580583687 -3.065848630126947,0.0002847652092951209 0.02085323662079911 -2.547055543583061
0.09291683241371428,0.0002847652092951209 0.02085323662079911 -2.547055543583061,2.432490722940688e-05 -0.007533051686842173 -0.44564870448309934
0.03128113407094907,2.432490722940688e-05 -0.007533051686842173 -0.44564870448309934,-0.0014435988845984491 -0.024033107408997882 1.397840521149128
-0.021323870469210675,-0.0014435988845984491 -0.024033107408997882 1.397840521149128,-0.0032332456216254014 -0.030540692986513265 1.9440545588699556
-0.060633812451276047,-0.0032332456216254014 -0.030540692986513265 1.9440545588699556,-0.003568114793503414 -0.011427833080909257 1.1129757250228258
-0.09043420575399085,-0.003568114793503414 -0.011427833080909257 1.1129757250228258,-0.0035973236304899466 0.0033829881111593595 -0.6967372281794255
-0.05554582245144968,-0.0035973236304899466 0.0033829881111593595 -0.6967372281794255,-0.001239745220562034 0.03439869443039526 -1.9959143853221595
-0.03577985883838349,-0.001239745220562034 0.03439869443039526 -1.9959143853221595,-0.00010526567941774765 0.030715884474017036 -2.2602296229949213
0.051897221098197735,-0.00010526567941774765 0.030715884474017036 -2.2602296229949213,0.000966452378362707 0.017538434050376077 -1.7873055389005237
0.052946078623150886,0.000966452378362707 0.017538434050376077 -1.7873055389005237,0.0013635729287091033 0.006995002583594001 -0.7332201334894173
0.036942893748471234,0.0013635729287091033 0.006995002583594001 -0.7332201334894173,0.001787529860162771 0.005017287607169373 0.13705990263458898
0.024898664351697106,0.001787529860162771 0.005017287607169373 0.13705990263458898,0.001769078379451631 0.00010845506594733682 0.4561549509518564
0.03192956441948404,0.001769078379451631 0.00010845506594733682 0.4561549509518564,0.0018221538673992357 -0.0016795956571024999 0.5848120840325803
0.0227447564171597,0.0018221538673992357 -0.0016795956571024999 0.5848120840325803,0.0018148898800969197 -0.001449616368989804 0.5263420794413685
0.020134365278863905,0.0018148898800969197 -0.001449616368989804 0.5263420794413685,0.0022809926988715196 0.00474878072384728 0.35488735416855066
0.020116559032284854,0.0022809926988715196 0.00474878072384728 0.35488735416855066,0.0022364075262693308 0.0010116125681675914 0.16343416927385968
0.03831915806662202,0.0022364075262693308 0.0010116125681675914 0.16343416927385968,0.0027456655581119113 0.004134954909430883 0.26737287008827915
0.02738843458379994,0.0027456655581119113 0.004134954909430883 0.26737287008827915,0.003129244630246181 0.005880902149845123 0.445625233761129
0.0410438602602047,0.003129244630246181 0.005880902149845123 0.445625233761129,0.0031229544892733404 -0.00031652803436162764 0.7773750457121094
0.0507222408696906,0.0031229544892733404 -0.00031652803436162764 0.7773750457121094,0.0031254870167462256 -0.0034280445090513097 1.6020853082089195
0.03871415537703691,0.0031254870167462256 -0.0034280445090513097 1.6020853082089195,0.002123096008845451 -0.015680222762318542 2.825695812926208
0.03822346528249237,0.002123096008845451 -0.015680222762318542 2.825695812926208,0.0013178976833782934 -0.01916141388646146 3.599454039704188
